ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
core,read_reqs,,Accumulator,6807108,0,2000,2000,2000,1,1
core,write_reqs,,Accumulator,6807108,0,1000,1000,1000,1,1
core,custom_reqs,,Accumulator,6807108,0,0,0,0,0,0
core,split_read_reqs,,Accumulator,6807108,0,0,0,0,0,0
core,split_write_reqs,,Accumulator,6807108,0,0,0,0,0,0
core,split_custom_reqs,,Accumulator,6807108,0,0,0,0,0,0
core,cycles_with_issue,,Accumulator,6807108,0,1688,1688,1688,1,1
core,cycles_no_issue,,Accumulator,6807108,0,14635,14635,14635,1,1
core,total_bytes_read,,Accumulator,6807108,0,16000,128000,2000,8,8
core,total_bytes_write,,Accumulator,6807108,0,8000,64000,1000,8,8
core,total_bytes_custom,,Accumulator,6807108,0,0,0,0,0,0
core,req_latency,,Accumulator,6807108,0,159933,8530293,3000,50,56
core,time,,Accumulator,6807108,0,6807,46335249,1,6807,6807
core,cycles_hit_fence,,Accumulator,6807108,0,0,0,0,0,0
core,cycles_max_issue,,Accumulator,6807108,0,1312,1312,1312,1,1
core,cycles_max_reorder,,Accumulator,6807108,0,0,0,0,0,0
core,cycles,,Accumulator,6807108,0,16324,16324,16324,1,1
cache,default_stat,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetS_I,,Accumulator,6807108,0,250,250,250,1,1
cache,stateEvent_GetS_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetS_M,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetX_I,,Accumulator,6807108,0,125,125,125,1,1
cache,stateEvent_GetX_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetX_M,,Accumulator,6807108,0,875,875,875,1,1
cache,stateEvent_GetSX_I,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetSX_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetSX_M,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetSResp_IS,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_GetXResp_IS,,Accumulator,6807108,0,250,250,250,1,1
cache,stateEvent_GetXResp_IM,,Accumulator,6807108,0,125,125,125,1,1
cache,stateEvent_GetXResp_SM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_I,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_IS,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_IM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_SM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_SB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Inv_IB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_I,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_M,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_IS,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_IM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_SB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInvX_IB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_I,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_IS,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_IM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_SM,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_IB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_Fetch_SB,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInv_I,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInv_S,,Accumulator,6807108,0,0,0,0,0,0
cache,stateEvent_FetchInv_M,,Accumulator,6807108,0,0,0,0,0,0
